Unnamed: 0,Unnamed: 1,Alliance,Systems,Members,Corps,Unnamed: 6,Unnamed: 7,Unnamed: 8
360.0,,DISASTER Delivery Service,0.0,232.0,10.0,,,
361.0,,Clockwork Pineapple,0.0,230.0,7.0,,,
362.0,,BORE,0.0,228.0,13.0,,,
363.0,,Covert Otters Venture Into Darkness,0.0,228.0,24.0,,,
364.0,,Naval Defence Institute,0.0,226.0,2.0,,,
365.0,,TOG - The Older Gamers Alliance,0.0,225.0,16.0,,,
366.0,,Varangon Tagma,0.0,223.0,1.0,,,
367.0,,WAFFLES.,0.0,222.0,4.0,,,
368.0,,Roid Suckers,0.0,221.0,6.0,,,
369.0,,The Anidaza Cartel,0.0,221.0,9.0,,,
370.0,,Zulu People,0.0,221.0,3.0,,,
371.0,,End Of Line,0.0,220.0,10.0,,,
372.0,,Quantum Cafe,0.0,218.0,12.0,,,
373.0,,The Lost Drone Society,0.0,218.0,10.0,,,
374.0,,The Rogue University,0.0,218.0,3.0,,,
375.0,,Aideron Robotics.,0.0,217.0,2.0,,,
376.0,,Templis CALSF,0.0,217.0,11.0,,,
377.0,,Seeds of Eden,0.0,215.0,1.0,,,
378.0,,M A R A K U G A,0.0,214.0,9.0,,,
379.0,,Allianz Deutsches Blut,0.0,213.0,4.0,,,
380.0,,Coalition of Customs Professionals,0.0,213.0,8.0,,,
381.0,,Mostly Newbies,0.0,213.0,4.0,,,
382.0,,Templis Strategic Division,0.0,213.0,18.0,,,
383.0,,Blue Loot Not Included,0.0,212.0,2.0,,,
384.0,,Born To Kill.,0.0,211.0,9.0,,,
385.0,,Disaster Strikes,0.0,211.0,16.0,,,
386.0,,Rogue Caldari Union,0.0,208.0,20.0,,,
387.0,,Paper Numbers,0.0,207.0,4.0,,,
388.0,,RECURSIVE ASCENSION,0.0,207.0,4.0,,,
389.0,,RED.Union,0.0,207.0,4.0,,,
390.0,,Seriously Suspicious,0.0,207.0,2.0,,,
391.0,,World Security Treaty Alliance,0.0,207.0,6.0,,,
392.0,,Kanen Federation,0.0,206.0,5.0,,,
393.0,,Mordus Angels,0.0,205.0,14.0,,,
394.0,,Negative-Feedback,0.0,205.0,7.0,,,
395.0,,Empire Logistics Syndicate,0.0,204.0,4.0,,,
396.0,,Patchwork Industrial Research And Trade Endeavors,0.0,204.0,18.0,,,
397.0,,Mouth Trumpet Cavalry,0.0,203.0,4.0,,,
398.0,,Skeletons in the Closet,0.0,203.0,1.0,,,
399.0,,Ascend Alliance,0.0,202.0,1.0,,,
400.0,,Average camping enjoyer,0.0,202.0,1.0,,,
401.0,,VooDoo Technologies,0.0,201.0,6.0,,,
402.0,,COASTAL BROTHERHOOD,0.0,200.0,9.0,,,
403.0,,lost boys alliance,0.0,200.0,7.0,,,
404.0,,Mercuria Solutions,0.0,200.0,17.0,,,
405.0,,Villore Accords,0.0,200.0,6.0,,,
406.0,,Wormlife,0.0,200.0,10.0,,,
407.0,,ForsakenSyndicate,0.0,198.0,6.0,,,
408.0,,NightSong Directorate,0.0,198.0,9.0,,,
409.0,,Salt Mining Industrialists,0.0,198.0,4.0,,,
410.0,,Citizen's Star Republic,0.0,197.0,9.0,,,
411.0,,Top Tier,0.0,197.0,7.0,,,
412.0,,Free Range Chikuns,0.0,195.0,6.0,,,
413.0,,Safety. Net,0.0,195.0,9.0,,,
414.0,,AddictClan,0.0,194.0,10.0,,,
415.0,,DARKNESS.,0.0,193.0,8.0,,,
416.0,,Destiny's Call,0.0,193.0,13.0,,,
417.0,,The Tuskers Co.,0.0,193.0,3.0,,,
418.0,,O X I D E,0.0,192.0,4.0,,,
419.0,,The Crystal Empire.,0.0,192.0,1.0,,,
420.0,,D E L E T E L O C A L,0.0,191.0,6.0,,,
421.0,,Specialized pig-farm.,0.0,190.0,9.0,,,
422.0,,CyberSphere,0.0,189.0,7.0,,,
423.0,,Fatalix Syndicate,0.0,188.0,2.0,,,
424.0,,Buzhou Mountain Alliance,0.0,187.0,5.0,,,
425.0,,True Reign,0.0,186.0,17.0,,,
426.0,,Independent Corps Federation,0.0,185.0,6.0,,,
427.0,,Workers Trade Federation,0.0,185.0,11.0,,,
428.0,,Straya Post,0.0,184.0,8.0,,,
429.0,,Wormhole Society,0.0,184.0,5.0,,,
430.0,,Nuclear Confusion,0.0,183.0,14.0,,,
431.0,,Adhocracy,0.0,182.0,2.0,,,
432.0,,Anti Krab Coalition,0.0,182.0,6.0,,,
433.0,,Exiled from Hell,0.0,182.0,8.0,,,
434.0,,Nebula Rasa,0.0,182.0,5.0,,,
435.0,,New Jovian Collective,0.0,181.0,4.0,,,
436.0,,Domini Canes,0.0,179.0,5.0,,,
437.0,,Moist.,0.0,179.0,4.0,,,
438.0,,Orion Empire,0.0,179.0,4.0,,,
439.0,,Shut Up I am Trying,0.0,179.0,11.0,,,
440.0,,United Neopian Federation,0.0,179.0,8.0,,,
441.0,,Intaki Quartermaster Auxiliary Corps,0.0,177.0,11.0,,,
442.0,,WiNGSPAN Delivery Network,0.0,176.0,3.0,,,
443.0,,Homeless Miners,0.0,175.0,5.0,,,
444.0,,The Jura Tempest Federation,0.0,175.0,6.0,,,
445.0,,C0VEN,0.0,174.0,8.0,,,
